stock_type,name,variant_name,karat_color,stock_code,location_name,dept,party,vendor_party,owner_party,pcs,total_weight,net_weight,pg_weight,metal_rate,bom_variant_name,stone_pcs,stone_weight,stone_rate,stock_value,labour_value,wastage
COMPANY STOCK,MCNACSBCNREG-707,MCNACSBCNREG-707-1,"18,YELLOW",SACS49933,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,IN HOUSE,,1,1.04,1.04,0.7904,0,,0,0,0,0,0,10
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,1.04,0,3309.28,0,
COMPANY STOCK,OPNMATHNGNET-1394,OPNMATHNGNET-1394-1,"18,YELLOW",SMAT28338,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,SUKUMAR MONDAL (14)-JW,,1,22.93,22.324,16.96624,0,,0,0,0,0,550,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,DIARNDVVSEF01.01- 2 CT,156,1.05,59500,1.05,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-18-YELLOW,0,22.324,0,64386.8808,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,ONXMIXMIXMIXMIX,2,1.98,1500,2970,0,
COMPANY STOCK,OPNPNDSHKCDI-873,OPNPNDSHKCDI-873-1,"18,YELLOW",SPND30603,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,ASHOK DAS - JW,,1,3.58,2.742,2.08392,0,,0,0,0,0,550,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,DIABAGVVSEFMIX,13,0.34,59500,20230,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,DIARNDVVSEF0.085 TO 0.125(III),5,0.6,78000,35700,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,1,2,1500,1100,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,SSPMIXMIXMIXMIX,1,1.25,350,687.5,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-18-YELLOW,0,2.742,0,6558.86318,0,
COMPANY STOCK,OPNPNDSHKCDI-2104,OPNPNDSHKCDI-2104-1,"18,YELLOW",SPND44397,PMJ&GEMS-B-C-HIMAYATHNAGAR-SHOWROOM,FG-HIMSHW,,NABIN KUMAR HAMBHIR (134) - JW,,1,5.12,4.766,3.62216,0,,0,0,0,0,650,10
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,ONXMIXMIXMIXMIX,1,0.7,1500,1050,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,DIAPEAVVSEFMIX,5,0.19,59500,11305,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,DIARNDVVSEFMIX,56,0.36,59500,21420,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,0,DIAMAQVVSEFMIX,11,0.52,59500,30940,0,
,,,,,,FG-HIMSHW,,,,0,0,0,0,,AG-18-YELLOW,0,4.766,0,12623.2276,0,
COMPANY STOCK,MCNBNGS04REG-555,MCNBNGS04REG-555-1,"22,YELLOW",SBNG19779,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Aarpee Bangles,,1,51.87,51.87,47.7204,0,,0,0,0,0,0,10
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,51.87,0,171171,0,
COMPANY STOCK,REGMSCREGREG-87,REGMSCREGREG-87-1,"22,YELLOW",SMSC26743,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,B RAVI PRASHANT (33),,1,0.32,0.32,0.2944,0,,0,0,0,0,500,10
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-22-YELLOW,0,0.32,0,1056,0,
COMPANY STOCK,REGMSCREGREG-15,REGMSCREGREG-15-1,"18,YELLOW",SMSC25785,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,KALYAN SUKUMAR KAR (121),,1,4.19,2.982,2.26632,0,,0,0,0,0,600,10
,,,,,,FG-BHSHW,,,,0,0,0,0,,AG-18-YELLOW,0,2.982,0,0,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDVVSEFMIX,10,0.31,59500,18445,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,OTHMIXMIXMIXMIX,2,5.73,1500,8595,0,
COMPANY STOCK,MUTPNDMCUTMCUT-9,LSPPNDSPLMUT-9-1,"22,YELLOW",SPND9721,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,Kundan craft pvt. ltd. (Karigar),,1,7.67,7.106,6.53752,0,,0,0,0,0,450,10
,,,,,,FG-BHSHW,,,,0,0,0,0,0,EMEMIXMIXGREENMIX,1,0.25,3500,375,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,PRLMIXMIXMIXMIX,15,1,450,100,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIAMUTAEFMIX,8,1.22,45000,42700,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,RUBMIXMIXREDMIX,1,0.05,3000,75,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,AG-22-YELLOW,0,7.106,0,19612.56,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,LBDMIXMIXEFMIX,24,0.3,25000,4200,0,
COMPANY STOCK,PLTBNGREGREG-1,PLTBNGREGREG-1-1,"95.00,WHITE",SBNG6830,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,KAMA-SCHACHTER JEWELRY PVT LTD.,,1,19.48,19.43,18.4585,0,,0,0,0,0,1000,10
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDMIXEFMIX,10,0.25,50000,10500,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,19.43,0,68005,0,
COMPANY STOCK,PLTBNGREGREG-2,PLTBNGREGREG-2-1,"95.00,WHITE",SBNG9181,PMJ&GEMS-B-C-BANJARA HILLS-SHOWROOM,FG-BHSHW,,KAMA-SCHACHTER JEWELRY PVT LTD.,,1,19.07,19.036,18.0842,0,,0,0,0,0,1000,10
,,,,,,FG-BHSHW,,,,0,0,0,0,3200,PT95WHITE,0,19.036,0,66626,0,
,,,,,,FG-BHSHW,,,,0,0,0,0,0,DIARNDMIXEFMIX,14,0.17,50000,7140,0,
