stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
DIAPEAVS-SIIJ  0.23 TO 0.29 (VI),Diamond,Pear,VS-SI,IJ,  0.23 TO 0.29 (VI),72000,108000
DIAPRIVS - SIIJ0.000 TO 0.056,Diamond,Princess,VS-SI,IJ,0.000 TO 0.056,72000,108000
DIAMAQVVS-VSFGH0.085 TO 0.125 (III),Diamond,Marquise,VVS-VS,FGH,0.085 TO 0.125 (III),72000,108000
DIAPEAVVS-VSFGH0.085 TO 0.125 (III),Diamond,Pear,VVS-VS,FGH,0.085 TO 0.125 (III),72000,108000
DIABAGVVS-VSFGH0.000 to 0.056 (I),Diamond,Baguette,VVS-VS,FGH,0.000 TO 0.056 (I),72000,108000
DIAMAQVVS-VSFGH0.000 to 0.056 (I),Diamond,Marquise,VVS-VS,FGH,0.000 TO 0.056 (I),72000,108000
DIARNDVS-SIIJ  0.075 TO 0.08(II),Diamond,Round,VS-SI,IJ,  0.075 TO 0.08(II),72000,108000
DIAPEAVSFG0.000 TO 0.056 (I),Diamond,Pear,VS,FG,0.000 TO 0.056 (I),72000,108000
DIARNDVSFG0.000 TO 0.056(I),Diamond,Round,VS,FG,0.000 TO 0.056(I),72000,108000
SLTRNDVVS1EF0.40 TO 0.49,Solitaire_Diamond,Round,VVS1,EF, 0.40 TO 0.49,150000,225000
DIAMUTVVSEF0.18 TO 0.229,Diamond,,VVS,EF,0.18 TO 0.229,72000,108000
DIAMUTVVSEF0.13 TO 0.179,Diamond,,VVS,EF,0.13 TO 0.179,72000,108000
SLTMAQVVS1E0.30 TO 0.39,Solitaire_Diamond,Marquise,VVS1,E,0.30 TO 0.39,150000,225000
DIAFANVVS-VSFGH0.075 TO 0.08,Diamond,,VVS-VS,FGH,0.075 TO 0.08,72000,108000
