stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat,
32102,DIAPEAVVS_VSHI0.085 TO 0.125,Diamond,Pear,VVS_VS,HI,0.085 TO 0.125,65000,71500
32103,DIAPEAVVSEF01.01_2CT,Diamond,Pear,VVS,EF,01.01_2CT,65000,71500
32104,DIAPEAVVSEF02.01_3CT,Diamond,Pear,VVS,EF,02.01_3CT,65000,71500
32105,DIAPRIVS _ SIEF0.13 TO 0.175 (IV),Diamond,Princess,VS _ SI,EF,0.13 TO 0.175 (IV),65000,71500
32106,DIAPRIVS_SIIJ0.23 TO 0.29,Diamond,Princess,VS_SI,IJ,0.23 TO 0.29,65000,71500
32107,DIABAGIF_VVSEF0.000 TO 0.056,Diamond,Baguette,IF_VVS,EF,0.000 TO 0.056,65450,71995
32108,DIABAGVVS_VSFG0.000 TO 0.056,Diamond,Baguette,VVS_VS,FG,0.000 TO 0.056,65450,71995
32109,DIARNDVVS_VSEF0.000 TO 0.056,Diamond,Round,VVS_VS,EF,0.000 TO 0.056,65450,71995
32110,DIAFANVS_SIFGH0.075 TO 0.08,Diamond,Fancy,VS_SI,FGH,0.075 TO 0.08,66000,72600
32111,DIAFANVVS_VSFGH0.000 TO 0.056,Diamond,Fancy,VVS_VS,FGH,0.000 TO 0.056,66000,72600
32112,DIAMAQVS_SIFG0.000 TO 0.056,Diamond,Marquise,VS_SI,FG,0.000 TO 0.056,66000,72600
32113,DIAMAQVVS_VSFG0.000 TO 0.056,Diamond,Marquise,VVS_VS,FG,0.000 TO 0.056,66000,72600
32114,DIAMAQVVS_VSFGH0.000 to 0.056,Diamond,Marquise,VVS_VS,FGH,0.000 TO 0.056,66000,72600
32115,DIAMAQVVS_VSHI0.000 TO 0.056,Diamond,Marquise,VVS_VS,HI,0.000 TO 0.056,66000,72600
32116,DIAFNYVVS _ VSGH0.180 TO 0.220 (V),Diamond,Fancy,VVS _ VS,GH,0.180 TO 0.220 (V),67000,73700
32117,DIAMRQVVS _ VSGH  0.18 TO 0.22 (V),Diamond,Marquise,VVS _ VS,GH,  0.18 TO 0.22 (V),67000,73700
32118,DIAPEAVVS _ VSGH0.18 TO 0.22 (V),Diamond,Pear,VVS _ VS,GH,0.18 TO 0.22 (V),67000,73700
32119,DIAFANVS_SIFGH0.075 to 0.084,Diamond,Fancy,VS_SI,FGH,0.075 TO 0.084,68000,74800
32120,DIAFANVS_SIFGH0.085 TO 0.0134 (III),Diamond,Fancy,VS_SI,FGH,0.085 TO 0.0134 (III),68000,74800
32121,DIAFANVS_SIFGH0.085 TO 0.125,Diamond,Fancy,VS_SI,FGH,0.085 to 0.125,68000,74800
32122,DIAFANVS_SIIJ0.085 TO 0.125(III),Diamond,Fancy,VS_SI,IJ,0.085 TO 0.125(III),68000,74800
32123,DIAFANVS_SIIJ0.13 to 0.175,Diamond,Fancy,VS_SI,IJ,0.13 TO 0.175,68000,74800
32124,DIAMAQVS_SIFGH0.085 TO 0.129,Diamond,Marquise,VS_SI,FGH,0.085 TO 0.129,68000,74800
32125,DIAMAQVSHI0.13 TO 0.175,Diamond,Marquise,VS,HI,0.13 TO 0.175,68000,74800
32126,DIAMAQVVS _ VSEF0.13 TO 0.175 (IV),Diamond,Marquise,VVS _ VS,EF,0.13 TO 0.175 (IV),68000,74800
32127,DIAMAQVVS_VSGH  0.085 TO 0.125 (III),Diamond,Marquise,VVS_VS,GH,  0.085 TO 0.125 (III),68000,74800
32128,DIAMAQVVS_VSHI0.075 TO 0.08,Diamond,Marquise,VVS_VS,HI,0.075 TO 0.08,68000,74800
32129,DIAMAQVVS_VSIJ0.13 TO 0.179,Diamond,Marquise,VVS_VS,IJ,0.13 TO 0.179,68000,74800
32130,DIAMRQVS _ SIFG0.085 TO 0.125,Diamond,Marquise,VS _ SI,FG,0.085 TO 0.125,68000,74800
32131,DIAMRQVVS-VSIJ  0.13 TO 0.175 (IV),Diamond,Marquise,VVS_VS,IJ,0.13 TO 0.175 (IV),68000,74800
32132,DIAPEAVS  SIEF0.50 TO 0.69(IX),Diamond,Pear,VS,EF,0.50 TO 0.69(IX),68000,74800
32133,DIAPEAVS _ SIEF0.085 TO 0.125(III),Diamond,Pear,VS _ SI,EF,0.085 TO 0.125(III),68000,74800
32134,DIAPEAVS _ SIEF0.18 TO 0.22 (V),Diamond,Pear,VS _ SI,EF,0.18 TO 0.22 (V),68000,74800
32135,DIAPEAVS _ SIEF0.50 TO 0.69(IX),Diamond,Pear,VS _ SI,EF,0.50 TO 0.69(IX),68000,74800
32136,DIAPEAVS _ SIFG0.075 TO 0.08,Diamond,Pear,VS _ SI,FG,0.075 TO 0.08,68000,74800
32137,DIAPEAVS _ SIFG0.085 TO 0.125,Diamond,Pear,VS _ SI,FG,0.085 TO 0.125,68000,74800
32138,DIAPEAVS_SIFGH   0.075 to 0.08 (II),Diamond,Pear,VS_SI,FGH,   0.075 to 0.08 (II),68000,74800
32139,DIAPEAVS_SIFGH0.075 to 0.08 (II),Diamond,Pear,VS_SI,FGH,0.075 TO 0.08 (II),68000,74800
32140,DIAPEAVS_SIFGH0.085 TO 0.125,Diamond,Pear,VS_SI,FGH,0.085 TO 0.125,68000,74800
