stone_bom_variant,stone_type,stone_shape,stone_quality,stone_color,wt_range,indian_rate_carat,usa_rate_carat
TOPMIXMIXBLUEMIX,Topaz,Mix,Mix,BLUE,Mix,5000,5500
ENEMIXMIXGREENMIX,Enamel,Mix,VS,Mix,Mix,5000,5500
CHAMIXAEFMIX,Chakri,Mix,Mix,Mix,Mix,5500,6050
CHAMIXAMIXMIX,Chakri,Mix,Mix,Mix,Mix,5500,6050
EPLMIXAEFMIX,Diamond,Mix,Mix,EF,Mix,6500,7150
BSBMIXMIXBLUEMIX,Sapphire Beeds,Mix,Mix,BLUE,Mix,6000,6600
EPLMIXMIXEFMIX,Diamond,Mix,Mix,EF,Mix,6500,7150
ENGPLKMIXAMIXMIX,Polki,Mix,Mix,Mix,Mix,6500,7150
EPLMIXMIXMIXMIX,Diamond,Mix,Mix,Mix,Mix,6500,7150
CKRMIXAMIXMIX,Chakri,Mix,Mix,Mix,Mix,5500,6050
EMEMIXMIXMIXMIX,Emerald,Mix,Mix,Mix,Mix,8000,8800
WCKMIXAEFMIX,Chakri,Mix,Mix,EF,Mix,8000,8800
WCKMIXMIXMIXMIX,Chakri,Mix,Mix,Mix,Mix,8000,8800
SCTMIXMIXEFMIX,Diamond,Mix,Mix,EF,Mix,10000,11000
WPLMIXMIXEFMIX,Polki,Mix,Mix,EF,Mix,8000,8800
WCKRMIXAMIXMIX,Chakri,Mix,Mix,Mix,Mix,8500,9350
WPKMIXAMIXMIX,Polki,Mix,Mix,Mix,Mix,8500,9350
WPLMIXAMIXMIX,Polki,Mix,Mix,Mix,Mix,8500,9350
WPLMIXMIXMIXMIX,Polki,Mix,Mix,Mix,Mix,8500,9350
SAPMIXMIXBLUEMIX,Sapphire,Mix,VS,Mix,Mix,9500,10450
SAPMIXMIXPINKMIX,Sapphire,Mix,VS,Mix,Mix,2000,2200
SAPMIXMIXYELLOWMIX,Sapphire,Mix,Mix,YELLOW,Mix,7000,7700
SCTMIXAEFMIX,Diamond,Mix,Mix,EF,Mix,10000,11000
RUBMIXMIXRED0.000 TO 0.056 (I),Ruby,Mix,Mix,RED,0.000 TO 0.056 (I),10000,11000
SCTMIXMIXMIXMIX,Diamond,Mix,Mix,Mix,Mix,10000,11000
POLMIXMIXEFMIX,Polki,Mix,Mix,EF,Mix,25000,27500
POLMIXMIXEF- ABOVE 1,Polki,Mix,Mix,Mix,Mix,32000,35200
EMSMIXMIXGREENMIX,Emerald,Mix,Mix,GREEN,Mix,10000,11000
POLMIXAEF-0.18,Polki,Mix,Mix,Mix,Mix,20000,22000
